Dealer Name,Address,Phone
Astra Daihatsu Solo Adi Sucipto,"Jl. Adi Sucipto No.135C,Jajar ,Laweyan,Surakarta,Jawa Tengah,57143",0271 7468888
Mandiri Zirang Utama Daihatsu Solo,"JL. Ir. Sutami No 14, Jebres, Surakarta",0271 3025969
Kharisma Sentosa Daihatsu Palu,"Jl. Emi Saelan No. 5 Palu,",0451 411789
Makassar Raya Motor Daihatsu Palu,"Jl. Ir. H. Juanda No. 11, Palu",0451 428667
Kharisma Sentosa Daihatsu Kendari,"Jl. MT. Haryono No. 105-107 Bende, Kadia,Kendari",0401 3193789
Makasar Raya Motor Daihatsu Kendari,"Jl. Dr. Moh. Hatta No. 71, Kendari",0401 3210324
Karya Zirang Utama Daihatsu Pati,"Jl. Raya Juwana KM 9 RT 02/RW 04, Gadingrejo, Juwana, Pati",0295 4791155
Karya Zirang Utama Daihatsu Kudus,"Jl. AKBP Agil Kusumadya No.22, JatiKulon, Jati, Kab.Kudus, Jawa Tengah, 59347",0291 444188
Astra Daihatsu Makassar Alauddin,"Jl. Sultan Alauddin No. 242 – 244, Kel. Mangasa Kec. Tamalate, Kota Makassar",0411 459992
Astra Daihatsu Makassar Urip Sumoharjo,"Jl. Urip Sumoharjo 64, Sinrijala, Panakkukang, Makassar, Sulawesi Selatan, 90232",0411 449911
Jujur Jaya Sakti Daihatsu Makassar,"Jl. Gunung Bawakaraeng No. 146, Makassar",0411 449476
Kharisma Sentosa Daihatsu Makassar,Jl. Gunung Latimojong No. 78A Makassar,0411 335388
Astra Daihatsu Maros,"Jl. Poros Makassar - Maros, Bulu-bulu Km 21 No. 147, Mandai Kab. Maros",0411 551111
Astra Daihatsu Kotamobagu,"Jl. Veteran, Kelurahan Motoboi Kecil, Kec.Kotamobagu Selatan, Kotamobagu",0434 2628225
Astra Daihatsu Bitung,"Jl. Walanda Maramis No. 81, Madidir Ureh, Bitung",0438 30163
Makassar Raya Motor Daihatsu Palopo,"Jl. Andi Kambo No. 113, Surutanga, Wara Timur, Palopo, Sulawesi Selatan",0471 3311100
Makassar Raya Motor Daihatsu Pare-pare,"Jl. Baumassepe No. 166, Pare-pare",0421 23999
Makasar Raya Motor Daihatsu Bone,"Jl. Jend. A. Yani No. 1, Bone, Watampone",0481 22400
Karya Zirang Utama Daihatsu Salatiga,"Jl. Osamaliki No. 17 (sebelah RSUD), Salatiga",0298 322111
Makasar Raya Motor Daihatsu Kolaka,"Jl. Pemuda Km.4 Kel.Balandate, Kec.Kolaka Kab.Kolaka, Sulawesi Tenggara",0405 2323799
